Date,AGG,GLD,IWM,QQQ,SPY,TLT,VTI
2023-03-14,88.08464813232422,176.8300018310547,169.99444580078125,292.1033935546875,376.55645751953125,92.31387329101562,187.97598266601562
2023-03-15,88.96289825439453,178.2100067138672,167.19203186035156,293.63580322265625,374.2013854980469,94.09645080566406,186.52700805664062
2023-03-16,88.61339569091797,178.57000732421875,169.47439575195312,301.37628173828125,380.766845703125,93.3603744506836,189.75125122070312
2023-03-17,89.16899871826172,183.77000427246094,164.8999786376953,299.9518737792969,376.3145751953125,94.76165008544922,187.30429077148438
2023-03-20,88.81053161621094,183.83999633789062,167.03790283203125,301.0163879394531,379.93310546875,93.927978515625,188.9355926513672
2023-03-21,88.54170227050781,180.3699951171875,170.11962890625,305.31561279296875,384.92181396484375,93.12092590332031,191.63206481933594
2023-03-22,89.3930435180664,183.44000244140625,165.29486083984375,301.1639709472656,378.36029052734375,94.36254119873047,188.20631408691406
2023-03-23,89.60816955566406,185.74000549316406,164.56121826171875,304.73516845703125,379.383056640625,94.36254119873047,188.5492706298828
2023-03-24,89.76048278808594,183.64999389648438,166.04971313476562,305.8567199707031,381.8726501464844,94.76165008544922,189.7343292236328
2023-03-27,88.79264068603516,181.9499969482422,167.89590454101562,303.76116943359375,382.5867004394531,92.53558349609375,190.21604919433594
2023-03-28,88.65819549560547,183.44000244140625,167.65426635742188,302.1477355957031,381.7279052734375,92.70411682128906,189.94627380371094
2023-03-29,88.7657470703125,182.52999877929688,169.5584716796875,307.6571044921875,387.2762756347656,92.51786041259766,192.6825408935547
2023-03-30,88.86433410644531,184.17999267578125,169.32644653320312,310.56915283203125,389.54388427734375,92.94353485107422,193.72308349609375
2023-03-31,89.29450225830078,183.22000122070312,172.4388885498047,315.7341613769531,395.0343017578125,94.33592224121094,196.64236450195312
2023-04-03,89.68260955810547,184.5399932861328,172.51617431640625,314.9667663574219,396.53961181640625,94.77960205078125,197.16261291503906
2023-04-04,90.01504516601562,187.97999572753906,169.4907989501953,313.904296875,394.3395690917969,95.2508316040039,195.84268188476562
2023-04-05,90.32050323486328,187.8300018310547,167.82826232910156,310.8052978515625,393.3070983886719,96.24665832519531,195.12969970703125
2023-04-06,90.23965454101562,186.49000549316406,168.07957458496094,312.90081787109375,394.8414306640625,96.4955825805664,195.77525329589844
2023-04-10,89.61969757080078,185.11000061035156,169.8773956298828,312.7236633300781,395.2466125488281,94.93962860107422,196.2184295654297
2023-04-11,89.67362213134766,186.27999877929688,171.22097778320312,310.7167053222656,395.3527526855469,95.13523864746094,196.4207763671875
2023-04-12,89.78142547607422,187.19000244140625,169.9644317626953,307.971923828125,393.7413330078125,95.03742218017578,195.59217834472656
2023-04-13,89.74549102783203,189.72000122070312,172.21658325195312,314.0026550292969,398.9713134765625,94.29057312011719,198.13571166992188
2023-04-14,89.30526733398438,186.36000061035156,170.61203002929688,313.41241455078125,397.9966735839844,93.42816162109375,197.58656311035156
2023-04-17,88.85602569580078,185.52999877929688,172.80616760253906,313.6780090332031,399.4248352050781,92.31673431396484,198.3765869140625
2023-04-18,88.98179626464844,186.25,172.0715789794922,313.6976318359375,399.6853332519531,92.64571380615234,198.47291564941406
2023-04-19,88.84706115722656,185.36000061035156,172.29388427734375,313.5500793457031,399.6177673339844,92.55681610107422,198.5692596435547
2023-04-20,89.25135040283203,186.08999633789062,171.40464782714844,311.1594543457031,397.43707275390625,93.3481216430664,197.33602905273438
2023-04-21,89.0986328125,184.25,171.62696838378906,311.4841003417969,397.7458190917969,92.82352447509766,197.50942993164062
2023-04-24,89.44900512695312,184.80999755859375,171.51097106933594,310.83477783203125,398.1607360839844,93.7215576171875,197.58656311035156
2023-04-25,90.00605010986328,185.75,167.27731323242188,304.97125244140625,391.8404235839844,95.09966278076172,194.29147338867188
2023-04-26,89.67362213134766,184.74000549316406,165.66311645507812,306.82086181640625,390.18072509765625,94.0860824584961,193.41476440429688
2023-04-27,89.3501968383789,184.75,167.87660217285156,315.16357421875,397.9484558105469,93.15251159667969,197.04701232910156
2023-04-28,89.80839538574219,184.8000030517578,169.34580993652344,317.3377990722656,401.34503173828125,94.6551284790039,198.761962890625
2023-05-01,88.88882446289062,183.97000122070312,169.4424591064453,316.9737548828125,400.9397277832031,91.9257583618164,198.6656036376953
2023-05-02,89.75345611572266,187.52000427246094,165.9627685546875,314.20928955078125,396.4335021972656,94.2165756225586,196.2376708984375
2023-05-03,90.14974975585938,189.11000061035156,166.5717010498047,312.1531066894531,393.71234130859375,94.74246978759766,195.09120178222656
2023-05-04,90.04168701171875,190.44000244140625,164.70620727539062,311.0513000488281,390.9237365722656,93.80654907226562,193.63636779785156
2023-05-05,89.75345611572266,187.4600067138672,168.62081909179688,317.66241455078125,398.1607360839844,93.49457550048828,197.21080017089844
2023-05-08,89.258056640625,187.69000244140625,168.23423767089844,318.44952392578125,398.266845703125,92.18428039550781,197.42274475097656
2023-05-09,89.177001953125,189.02000427246094,167.73159790039062,316.4327392578125,396.5202941894531,91.8544692993164,196.61346435546875
2023-05-10,89.75345611572266,188.75,168.5822296142578,319.8760681152344,398.37298583984375,92.74583435058594,197.48056030273438
2023-05-11,90.02364349365234,187.1300048828125,167.2869873046875,320.9188232421875,397.6782531738281,93.72633361816406,197.22044372558594
2023-05-12,89.5192642211914,186.80999755859375,166.9486541748047,319.7677917480469,397.1571960449219,92.9419174194336,196.75796508789062
2023-05-15,89.2940673828125,187.2100067138672,168.98817443847656,321.4992980957031,398.52740478515625,91.97926330566406,197.59617614746094
